Open,High,Low,Adj Close
572.41,575.64,570.81,575.54
575.55,576.31,571.81,572.3
577.59,577.86,573.64,575.47
574.11,578.36,574.11,577.5
574.07,576.28,573.47,574.11
569.83,574.04,569.74,573.91
579.45,579.85,568.63,569.95
577.75,580.62,576.86,579.65
580.18,580.45,575.17,577.76
583.41,583.59,579.86,580.18
586.77,589.47,581.63,583.42
581.31,588.45,580.59,586.75
581.94,584.16,580.22,581.31
576.08,582.82,575.46,581.7
574.34,578.24,574.18,575.63
573.71,577.79,573.43,574.32
577.76,580.89,571.43,573.22
567.24,581.74,566.72,577.44
570.49,573.58,563.24,567.24
585.59,585.67,564.78,570.47
587.36,589.77,584.98,585.59
588.8,589.91,583.81,587.56
592.12,597.54,589.12,589.12
587.65,599.98,586.37,592.1
591.04,591.09,584.79,587.8
592.74,592.99,588.05,591.05
587.77,597.51,586.82,592.69
575.03,588.4,569.47,587.78
578.28,578.28,569.98,575.04
566.33,579.5,565.78,578.29
548.66,573.36,541.55,566.36
606.4,612.85,531.33,547.47
624.6,626.12,605.88,606.27
655.1,655.29,624.37,624.68
657.01,658.22,654.21,655.05
655.11,657.8,654.79,656.99
654.49,657.6,654.49,655.04
651.63,657.46,648.45,654.35
654.23,656.23,645.88,651.78
661.26,661.83,653.4,654.1
655.41,663.11,652.79,661.29
650.73,656.37,648.52,655.56
664.92,666.58,646.72,650.62
665.23,666.22,660.42,665.01
672.81,672.93,663.36,665.69
672.74,673.28,667.63,672.86
679.81,681.56,668.63,673.11
661.99,682.37,661.99,679.46
663.78,666.46,659.33,660.77
659.17,667.08,659.04,663.26
652.92,662.9,652.92,658.08
664.8,668.7,654.47,654.47
648.28,675.26,646.78,664.55
648.48,659.63,644.98,647.66
650.6,652.29,641.26,649.36
666.38,666.38,633.4,650.96
640.69,666.71,636.47,666.52
678.09,682.43,611.83,640.56
670.42,681.9,670.42,677.33
683.21,683.49,665.07,670.63
658.8,683.66,650.51,683.66
704.97,704.97,649.01,658.66
676.73,703.7,676.4,703.7
672.52,686.15,669.59,676.3
640.59,675.4,636.61,673.34
644.12,644.68,628.28,639.89
658.1,659.25,637.77,647
629.35,655.28,620.52,655.28
665.93,665.98,616.93,629.37
665.28,691.73,646.56,665.12
625.58,681.73,625.27,665.3
597.44,629.33,558.14,623.98
665.92,678.67,587.48,596.12
735.88,735.88,639.07,666.65
763.93,764.08,732.73,737.23
756.69,766.62,745.63,763.78
748.76,777.99,733.93,756.23
768.49,775.36,716.56,748.91
696.52,773.72,696.52,766.31
685.69,696.3,672.56,694.47
704.5,704.5,662.8,685.56
671.65,716,664.49,704.38
609.68,684.84,607.04,672.78
578.67,607.12,578.67,606.73
575.84,579.13,573.33,577.47
582.2,582.2,570.95,574.63
577.17,582.84,573.13,581.65
585.45,590.26,567.51,576.6
574.6,586.47,574.6,585.54
573.31,582.81,569.18,574.98
569.71,590.13,564.24,572.73
537.68,574.64,536.92,569.19
536.52,540.35,533.08,537.97
531.11,543.08,525.64,536.92
534.19,546.62,520.66,531.39
528.47,544.35,522.96,533.86
527.48,553.96,512.18,526.23
473.03,533.47,472.7,530.04
453.52,478.15,453.52,473.46
449.67,453.64,447.9,453.38
446.06,450.3,446.06,449.6
444.29,447.1,443.93,445.98
439.35,444.35,438.82,444.16
443.22,443.43,439.04,439.32
442.97,443.78,441.71,443.19
437.79,444.05,437.39,442.68
