Open,High,Low,Adj Close,Date
447.63,460.61,447.63,457.76,5/1/2014
446.89,451.1,436.7,447.65,4/30/2014
439.98,451.64,435.18,447.21,4/29/2014
430.72,447.53,422.94,440.29,4/28/2014
457.24,459.33,436.39,436.39,4/27/2014
461.71,464.54,449.1,458.6,4/26/2014
500.09,500.3,442.95,461.45,4/25/2014
490.83,500.47,482.95,500.47,4/24/2014
488.36,493.25,485.82,491.3,4/23/2014
495.46,503.22,487.58,487.92,4/22/2014
497.74,510.57,493.2,495.77,4/21/2014
501.75,510.87,490.84,498.17,4/20/2014
479.58,503.56,470.56,501.57,4/19/2014
495.8,498.6,472.74,479.65,4/18/2014
529.07,533.52,484.87,495.96,4/17/2014
522.19,542.38,502.78,527.4,4/16/2014
458.37,519,453.54,515.59,4/15/2014
414.83,469.75,407.37,458.79,4/14/2014
421.46,427.4,395.25,414.06,4/13/2014
420.89,439.61,415.79,421.12,4/12/2014
363.71,429.77,351.27,420.95,4/11/2014
442.26,443.37,358.73,365.18,4/10/2014
453.18,455.73,441.93,442.73,4/9/2014
447.61,457.42,446.11,453.09,4/8/2014
461.47,462.56,445.12,449.42,4/7/2014
463.4,466.32,452.97,460.5,4/6/2014
446.68,463.57,444.2,461.91,4/5/2014
445.66,454.65,429.09,447.53,4/4/2014
436.44,449.57,414.89,444.72,4/3/2014
479.14,495.05,431.27,437.14,4/2/2014
457,495.34,457,478.38,4/1/2014
462.3,483.02,443.37,457,3/31/2014
492.37,492.37,444.18,460.27,3/30/2014
501.71,504.86,489.73,491.17,3/29/2014
477.14,526.02,473.23,495.67,3/28/2014
580.26,580.56,471.24,471.24,3/27/2014
583.48,590.03,570.96,580.83,3/26/2014
585.03,585.44,572.61,583.92,3/25/2014
562.51,586.56,551.77,583.41,3/24/2014
565.76,570.24,560.88,561.27,3/23/2014
571.18,572.55,554.39,565.04,3/22/2014
588.29,604.59,561.81,571.49,3/21/2014
609.75,609.75,587.49,588.77,3/20/2014
613.9,622,609.1,609.89,3/19/2014
621.84,622.39,603.8,614.83,3/18/2014
630.92,632.68,616.86,622.37,3/17/2014
636.5,637.52,628.11,631.11,3/16/2014
629.37,639.14,627.3,636.12,3/15/2014
638.14,639.53,627.21,628.8,3/14/2014
633.62,644.2,630.85,638.14,3/13/2014
631.91,648.03,629.51,632.1,3/12/2014
627.95,638.42,618.84,634.11,3/11/2014
636.33,644.76,615.02,627.79,3/10/2014
616.31,643.95,612.35,636.96,3/9/2014
629.66,635.14,604.46,617.45,3/8/2014
664.31,665.34,616.35,629.15,3/7/2014
664.52,669.77,649.79,663.86,3/6/2014
666.24,674.28,646.28,665.51,3/5/2014
668.24,696.22,655.68,666.78,3/4/2014
